customer_id,TotalRevenue,AverageOrderValue,PurchaseFrequency,CLV
C001502,8788.67,676.0515384615385,13,8788.67
C013102,8401.58,763.78,11,8401.58
C009405,7993.31,614.87,13,7993.31
C024216,7840.01,712.7281818181818,11,7840.01
C000351,7808.19,557.7278571428571,14,7808.1900000000005
C021457,7550.32,755.0319999999999,10,7550.32
C010502,7533.87,627.8225,12,7533.87
C011095,7366.259999999999,818.4733333333332,9,7366.259999999999
C022957,7309.62,664.5109090909091,11,7309.62
C014242,7234.36,602.8633333333333,12,7234.360000000001
C014670,7179.5,897.4375,8,7179.5
C005849,7174.91,797.2122222222222,9,7174.91
C014469,7146.78,1020.9685714285714,7,7146.78
C015257,7090.469999999999,472.698,15,7090.469999999999
C008001,7036.389999999999,781.821111111111,9,7036.389999999999
C014343,7029.33,468.622,15,7029.33
C000434,7007.63,875.95375,8,7007.63
C018318,6999.39,499.9564285714286,14,6999.39
C015012,6996.99,636.09,11,6996.990000000001
C000633,6949.76,772.1955555555555,9,6949.76
C001548,6946.26,578.855,12,6946.26
C018974,6944.43,631.3118181818182,11,6944.43
C011302,6879.33,859.91625,8,6879.33
C000811,6843.790000000001,1140.631666666667,6,6843.790000000001
C024818,6838.53,854.81625,8,6838.53
C012548,6802.5,680.25,10,6802.5
C008861,6768.88,615.3527272727273,11,6768.88
C018854,6719.27,746.5855555555556,9,6719.27
C016814,6704.1,1117.3500000000001,6,6704.1
C003727,6590.5,549.2083333333334,12,6590.5
C009168,6558.76,655.876,10,6558.76
C018541,6530.98,932.9971428571428,7,6530.98
C007656,6460.28,807.535,8,6460.28
C024091,6445.58,585.9618181818182,11,6445.58
C020104,6428.82,714.3133333333333,9,6428.82
C014046,6427.35,642.735,10,6427.35
C021082,6408.43,915.49,7,6408.43
C015995,6396.3099999999995,710.701111111111,9,6396.3099999999995
C016332,6384.18,709.3533333333334,9,6384.18
C013106,6348.349999999999,705.3722222222221,9,6348.349999999999
C022517,6342.49,792.81125,8,6342.49
C021291,6306.32,525.5266666666666,12,6306.32
C014407,6297.42,699.7133333333334,9,6297.42
C004826,6295.04,786.88,8,6295.04
C008070,6289.5,524.125,12,6289.5
C012100,6287.74,523.9783333333334,12,6287.74
C004943,6280.28,697.8088888888889,9,6280.28
C002398,6277.41,570.6736363636363,11,6277.41
C009140,6232.85,519.4041666666667,12,6232.85
C023004,6218.43,1036.405,6,6218.43
C008002,6209.13,477.62538461538463,13,6209.13
C019212,6208.450000000001,886.9214285714287,7,6208.450000000001
C022575,6207.5,689.7222222222222,9,6207.5
C004651,6206.31,443.3078571428572,14,6206.31
C008880,6178.16,411.8773333333333,15,6178.16
C001972,6130.780000000001,557.3436363636364,11,6130.780000000001
C001240,6126.53,1021.0883333333333,6,6126.53
C011053,6123.450000000001,874.7785714285716,7,6123.450000000001
C006219,6118.35,764.79375,8,6118.35
C001050,6098.68,469.1292307692308,13,6098.68
C016415,6091.54,761.4425,8,6091.54
C010021,6091.13,676.7922222222222,9,6091.13
C024555,6087.49,676.3877777777777,9,6087.49
C008270,6087.35,760.91875,8,6087.35
C023326,6068.76,551.7054545454546,11,6068.76
C020407,6066.71,674.0788888888889,9,6066.71
C018070,6037.25,503.1041666666667,12,6037.25
C014214,6014.96,668.3288888888889,9,6014.96
C016523,5998.58,666.5088888888889,9,5998.58
C018662,5995.87,999.3116666666666,6,5995.87
C014448,5988.79,544.4354545454545,11,5988.789999999999
C024438,5983.0,598.3,10,5983.0
C005108,5980.83,854.4042857142857,7,5980.83
C004713,5975.34,853.62,7,5975.34
C022016,5968.33,852.6185714285714,7,5968.33
C018452,5963.99,745.49875,8,5963.99
C015456,5936.26,593.626,10,5936.26
C022360,5935.53,539.5936363636364,11,5935.530000000001
C001353,5933.77,494.48083333333335,12,5933.77
C014120,5932.46,847.4942857142858,7,5932.46
C000608,5925.73,658.4144444444444,9,5925.73
C000116,5920.8,657.8666666666667,9,5920.8
C022679,5900.77,590.077,10,5900.77
C011058,5898.62,737.3275,8,5898.62
C009806,5888.1,841.157142857143,7,5888.1
C021535,5878.96,653.2177777777778,9,5878.96
C012776,5871.929999999999,489.32749999999993,12,5871.929999999999
C024367,5868.6900000000005,733.5862500000001,8,5868.6900000000005
C024757,5866.41,488.8675,12,5866.41
C007799,5851.5599999999995,835.9371428571428,7,5851.5599999999995
C024272,5850.82,1170.164,5,5850.82
C015337,5848.3099999999995,731.0387499999999,8,5848.3099999999995
C009482,5848.13,974.6883333333334,6,5848.13
C002863,5847.39,449.7992307692308,13,5847.39
C000460,5843.79,486.9825,12,5843.79
C004045,5836.68,486.39000000000004,12,5836.68
C020783,5827.99,529.8172727272727,11,5827.99
C010538,5819.5199999999995,646.6133333333332,9,5819.519999999999
C007401,5808.62,726.0775,8,5808.62
C022212,5796.58,724.5725,8,5796.58
C016668,5796.45,724.55625,8,5796.45
C016720,5794.639999999999,579.4639999999999,10,5794.639999999999
C001794,5778.58,642.0644444444445,9,5778.58
C014365,5767.22,720.9025,8,5767.22
C013101,5764.01,576.4010000000001,10,5764.01
C020387,5762.55,480.21250000000003,12,5762.55
C013403,5752.29,821.7557142857142,7,5752.29
C006767,5745.96,478.83,12,5745.96
C019961,5720.33,572.033,10,5720.33
C019434,5718.15,571.8149999999999,10,5718.15
C003790,5712.54,519.3218181818182,11,5712.540000000001
C005446,5708.9,634.3222222222222,9,5708.9
C015231,5707.28,475.6066666666666,12,5707.28
C013619,5706.18,570.618,10,5706.18
C002690,5693.3099999999995,569.3309999999999,10,5693.3099999999995
C021494,5692.4400000000005,569.244,10,5692.4400000000005
C014781,5687.7699999999995,473.9808333333333,12,5687.7699999999995
C018160,5683.38,710.4225,8,5683.38
C000551,5677.18,709.6475,8,5677.18
C016435,5665.56,566.556,10,5665.56
C012397,5663.82,809.1171428571428,7,5663.82
C010615,5651.95,941.9916666666667,6,5651.95
C002032,5641.98,626.8866666666667,9,5641.98
C001171,5641.13,940.1883333333334,6,5641.13
C003691,5632.570000000001,804.6528571428572,7,5632.570000000001
C009542,5631.4,703.925,8,5631.4
C007640,5629.91,433.07,13,5629.91
C008917,5624.110000000001,562.4110000000001,10,5624.110000000001
C004893,5616.139999999999,936.0233333333332,6,5616.139999999999
C018337,5615.09,701.88625,8,5615.09
C018874,5614.94,701.8675,8,5614.94
C019647,5614.61,467.88416666666666,12,5614.61
