customer_id,Recency,Frequency,Monetary,R,F,M,Segment
C000001,73,4,1401.1100000000001,4,2,3,Regular
C000002,33,6,1330.54,5,4,2,VIP
C000003,311,4,1349.69,1,2,2,At Risk
C000004,121,4,2597.0,3,2,4,Regular
C000005,119,3,720.48,3,1,1,Regular
C000006,207,5,1875.04,2,3,3,At Risk
C000007,87,3,1019.07,3,1,2,Regular
C000008,365,3,2024.04,1,1,4,At Risk
C000009,181,4,2633.01,2,2,4,At Risk
C000010,12,5,1641.59,5,3,3,Loyal
C000011,124,3,1724.81,3,1,3,Regular
C000012,594,1,89.41,1,1,1,At Risk
C000013,20,7,2678.9700000000003,5,4,4,VIP
C000014,42,4,3692.8199999999997,4,2,5,Regular
C000015,3,7,2615.04,5,4,4,VIP
C000016,49,7,2940.05,4,4,5,VIP
C000017,146,5,1918.81,2,3,3,At Risk
C000018,114,4,919.7099999999999,3,2,2,Regular
C000019,187,3,1803.39,2,1,3,At Risk
C000020,14,3,2119.08,5,1,4,Regular
C000021,35,4,869.86,4,2,2,Regular
C000022,178,2,596.3199999999999,2,1,1,At Risk
C000023,1,6,1152.4099999999999,5,4,2,VIP
C000024,1,6,1896.6499999999999,5,4,3,VIP
C000025,13,5,908.2099999999999,5,3,2,Loyal
C000026,102,9,3569.55,3,5,5,Loyal
C000027,57,6,2680.17,4,4,4,VIP
C000028,48,6,3546.5699999999997,4,4,5,VIP
C000029,183,3,593.46,2,1,1,At Risk
C000030,549,1,15.42,1,1,1,At Risk
C000031,29,4,1394.99,5,2,3,Regular
C000033,35,7,3320.74,4,4,5,VIP
C000034,77,6,3391.7200000000003,4,4,5,VIP
C000035,54,6,2916.1,4,4,5,VIP
C000036,102,2,323.87,3,1,1,Regular
C000037,357,4,663.9200000000001,1,2,1,At Risk
C000038,32,4,2565.16,5,2,4,Regular
C000039,22,6,4000.7299999999996,5,4,5,VIP
C000040,15,8,1554.15,5,5,3,VIP
C000041,113,4,1672.59,3,2,3,Regular
C000042,46,2,366.74,4,1,1,Regular
C000043,82,3,1315.16,3,1,2,Regular
C000044,160,7,2045.06,2,4,4,At Risk
C000045,84,6,1990.32,3,4,4,Loyal
C000046,341,6,2214.4300000000003,1,4,4,At Risk
C000047,36,4,1146.48,4,2,2,Regular
C000048,186,1,282.27,2,1,1,At Risk
C000049,53,5,1799.4,4,3,3,Loyal
C000050,91,7,4412.73,3,4,5,Loyal
C000051,217,5,2004.1399999999999,2,3,4,At Risk
C000052,9,6,3856.9,5,4,5,VIP
C000053,231,4,1918.9899999999998,2,2,3,At Risk
C000054,147,2,654.4300000000001,2,1,1,At Risk
C000055,428,4,2660.23,1,2,4,At Risk
C000056,8,8,2599.49,5,5,4,VIP
C000057,106,3,1970.58,3,1,4,Regular
C000058,38,5,2070.9100000000003,4,3,4,Loyal
C000059,72,3,2257.07,4,1,4,Regular
C000060,12,8,4240.92,5,5,5,VIP
C000061,88,4,760.1800000000001,3,2,1,Regular
C000062,115,9,2595.11,3,5,4,Loyal
C000063,456,2,663.3800000000001,1,1,1,At Risk
C000064,39,7,1885.31,4,4,3,VIP
C000065,32,1,435.82,5,1,1,Regular
C000066,404,2,871.15,1,1,2,At Risk
C000067,78,5,2439.5099999999998,3,3,4,Loyal
C000068,443,2,1788.2,1,1,3,At Risk
C000069,31,8,2012.67,5,5,4,VIP
C000070,68,5,2159.4399999999996,4,3,4,Loyal
C000071,68,8,3267.04,4,5,5,VIP
C000072,244,1,129.33,1,1,1,At Risk
C000073,244,1,158.94,1,1,1,At Risk
C000074,575,2,894.76,1,1,2,At Risk
C000075,296,5,3151.99,1,3,5,At Risk
C000076,585,3,552.92,1,1,1,At Risk
C000077,68,6,1938.49,4,4,4,VIP
C000078,45,4,685.87,4,2,1,Regular
C000079,182,5,2217.39,2,3,4,At Risk
C000080,204,4,760.49,2,2,1,At Risk
C000081,4,4,863.1800000000001,5,2,2,Regular
C000082,394,2,466.42999999999995,1,1,1,At Risk
C000083,96,5,2267.19,3,3,4,Loyal
C000084,205,5,1361.65,2,3,2,At Risk
C000085,43,2,448.28,4,1,1,Regular
C000086,321,4,1882.3400000000001,1,2,3,At Risk
C000087,284,5,1484.0,1,3,3,At Risk
C000088,292,6,2068.74,1,4,4,At Risk
C000089,35,8,3059.06,4,5,5,VIP
C000090,368,2,894.05,1,1,2,At Risk
C000091,79,2,620.25,3,1,1,Regular
C000092,14,10,2029.44,5,5,4,VIP
C000093,37,6,2805.4500000000003,4,4,5,VIP
C000094,262,5,1818.94,1,3,3,At Risk
C000095,210,3,1002.41,2,1,2,At Risk
C000096,439,2,1067.07,1,1,2,At Risk
C000097,207,2,845.8699999999999,2,1,1,At Risk
C000098,27,6,1403.69,5,4,3,VIP
C000099,91,10,4690.23,3,5,5,Loyal
C000100,146,7,2390.39,2,4,4,At Risk
C000101,142,8,2444.86,2,5,4,At Risk
C000102,7,3,2637.39,5,1,4,Regular
C000103,132,4,958.64,3,2,2,Regular
C000104,175,7,3406.6099999999997,2,4,5,At Risk
C000105,78,6,2505.58,3,4,4,Loyal
C000106,229,5,1767.83,2,3,3,At Risk
C000107,352,2,441.58000000000004,1,1,1,At Risk
C000108,95,5,1703.57,3,3,3,Loyal
C000109,98,4,538.22,3,2,1,Regular
C000110,339,2,503.90000000000003,1,1,1,At Risk
C000111,174,9,2991.43,2,5,5,At Risk
C000112,390,2,435.86,1,1,1,At Risk
C000113,46,5,1699.8,4,3,3,Loyal
C000114,16,8,3090.51,5,5,5,VIP
C000115,24,3,1362.44,5,1,2,Regular
C000116,53,9,5920.8,4,5,5,VIP
C000117,340,1,49.65,1,1,1,At Risk
C000118,286,4,1451.2900000000002,1,2,3,At Risk
C000119,125,7,1532.38,3,4,3,Loyal
C000120,6,4,756.26,5,2,1,Regular
C000121,66,10,5213.04,4,5,5,VIP
C000122,100,3,1520.3,3,1,3,Regular
C000123,138,5,2431.55,3,3,4,Loyal
C000124,165,4,1645.24,2,2,3,At Risk
C000125,72,7,1839.1799999999998,4,4,3,VIP
C000126,19,4,1615.3,5,2,3,Regular
C000127,453,5,1348.1100000000001,1,3,2,At Risk
C000128,297,8,4241.01,1,5,5,At Risk
C000129,183,3,690.75,2,1,1,At Risk
C000130,207,2,579.38,2,1,1,At Risk
C000131,47,3,573.34,4,1,1,Regular
C000132,124,8,2826.13,3,5,5,Loyal
C000133,376,3,1709.09,1,1,3,At Risk
C000134,53,6,1602.0900000000001,4,4,3,VIP
C000135,101,2,1205.3200000000002,3,1,2,Regular
C000136,75,6,1913.58,4,4,3,VIP
C000137,71,7,3489.0099999999998,4,4,5,VIP
C000138,177,7,2964.77,2,4,5,At Risk
C000139,117,4,596.88,3,2,1,Regular
C000140,263,3,1620.29,1,1,3,At Risk
C000141,220,3,194.79,2,1,1,At Risk
C000142,166,5,2032.44,2,3,4,At Risk
C000143,310,7,2739.8,1,4,5,At Risk
C000144,64,6,1670.15,4,4,3,VIP
C000145,87,4,1456.8700000000001,3,2,3,Regular
C000146,166,5,700.5,2,3,1,At Risk
C000147,77,9,1908.63,4,5,3,VIP
C000148,35,7,1626.8799999999999,4,4,3,VIP
C000149,102,8,1634.3899999999999,3,5,3,Loyal
C000150,112,9,3620.19,3,5,5,Loyal
C000151,34,7,2003.49,4,4,4,VIP
C000152,35,7,971.46,4,4,2,VIP
C000153,12,10,3840.66,5,5,5,VIP
C000154,6,7,2695.43,5,4,4,VIP
C000155,90,5,3380.1299999999997,3,3,5,Loyal
C000156,250,6,4158.0,1,4,5,At Risk
C000157,10,7,1636.0500000000002,5,4,3,VIP
C000158,80,7,3423.5,3,4,5,Loyal
C000159,66,5,1355.1100000000001,4,3,2,Loyal
C000160,101,6,2558.44,3,4,4,Loyal
C000161,51,7,2369.54,4,4,4,VIP
C000162,120,3,923.19,3,1,2,Regular
C000163,51,5,2366.12,4,3,4,Loyal
C000164,146,4,1164.09,2,2,2,At Risk
C000165,199,5,1846.21,2,3,3,At Risk
C000166,341,2,758.14,1,1,1,At Risk
C000167,264,7,3543.7999999999997,1,4,5,At Risk
C000168,160,5,1843.93,2,3,3,At Risk
C000169,4,4,894.11,5,2,2,Regular
C000170,63,4,869.8199999999999,4,2,2,Regular
C000171,485,3,1556.06,1,1,3,At Risk
C000172,113,6,1222.0,3,4,2,Loyal
C000173,27,5,5035.84,5,3,5,Loyal
C000174,116,8,3677.17,3,5,5,Loyal
C000175,8,9,3191.82,5,5,5,VIP
C000176,147,6,1431.21,2,4,3,At Risk
C000177,149,1,273.63,2,1,1,At Risk
C000178,37,10,3538.74,4,5,5,VIP
C000179,70,2,1423.76,4,1,3,Regular
C000180,354,2,340.95,1,1,1,At Risk
C000181,242,4,923.54,1,2,2,At Risk
C000182,162,9,5237.03,2,5,5,At Risk
C000183,209,8,3052.98,2,5,5,At Risk
C000184,4,4,926.03,5,2,2,Regular
C000185,98,7,1588.34,3,4,3,Loyal
C000186,67,6,1736.77,4,4,3,VIP
C000187,30,7,2503.91,5,4,4,VIP
C000188,54,4,1089.8899999999999,4,2,2,Regular
C000189,270,3,522.85,1,1,1,At Risk
C000190,161,3,633.37,2,1,1,At Risk
C000191,57,6,2470.45,4,4,4,VIP
C000192,112,5,1807.43,3,3,3,Loyal
C000193,170,4,1121.28,2,2,2,At Risk
C000194,132,7,2139.88,3,4,4,Loyal
C000195,199,1,417.06,2,1,1,At Risk
C000196,23,8,2382.13,5,5,4,VIP
C000197,162,6,2811.16,2,4,5,At Risk
C000198,2,6,2440.12,5,4,4,VIP
C000199,197,6,1726.05,2,4,3,At Risk
C000200,218,6,2080.17,2,4,4,At Risk
C000201,127,5,1773.99,3,3,3,Loyal
C000202,135,7,5227.73,3,4,5,Loyal
C000203,21,8,3984.0199999999995,5,5,5,VIP
C000204,38,8,2048.19,4,5,4,VIP
C000205,23,5,1961.55,5,3,4,Loyal
C000206,46,10,3878.35,4,5,5,VIP
C000207,597,2,822.4,1,1,1,At Risk
C000208,132,4,1326.0100000000002,3,2,2,Regular
C000209,77,4,1207.79,4,2,2,Regular
C000210,600,1,343.7,1,1,1,At Risk
C000211,296,3,903.0799999999999,1,1,2,At Risk
C000212,629,1,405.02,1,1,1,At Risk
C000213,430,1,44.04,1,1,1,At Risk
C000214,150,4,1123.62,2,2,2,At Risk
C000215,136,4,998.9,3,2,2,Regular
C000216,45,7,2063.03,4,4,4,VIP
C000217,90,3,817.74,3,1,1,Regular
C000218,200,2,568.0,2,1,1,At Risk
C000219,202,3,1313.8,2,1,2,At Risk
C000220,16,5,1220.18,5,3,2,Loyal
C000221,241,3,1077.45,1,1,2,At Risk
C000222,77,6,1521.69,4,4,3,VIP
C000223,195,3,642.3,2,1,1,At Risk
C000224,12,6,2799.73,5,4,5,VIP
C000225,73,8,4055.68,4,5,5,VIP
C000226,10,7,3734.74,5,4,5,VIP
C000227,146,3,626.86,2,1,1,At Risk
C000229,19,6,2107.43,5,4,4,VIP
C000230,225,1,256.14,2,1,1,At Risk
C000231,190,5,1027.74,2,3,2,At Risk
C000232,71,5,1154.28,4,3,2,Loyal
C000233,242,2,1102.6599999999999,1,1,2,At Risk
C000234,56,6,1705.4,4,4,3,VIP
C000235,183,4,2476.98,2,2,4,At Risk
C000236,419,3,578.75,1,1,1,At Risk
C000237,215,2,603.26,2,1,1,At Risk
C000238,115,6,3002.0800000000004,3,4,5,Loyal
C000239,228,3,851.1,2,1,2,At Risk
C000240,110,5,1381.1299999999999,3,3,3,Loyal
C000241,33,3,1330.01,5,1,2,Regular
C000242,76,6,1313.13,4,4,2,VIP
C000243,34,3,555.41,4,1,1,Regular
C000244,224,5,2623.74,2,3,4,At Risk
C000245,405,4,1390.64,1,2,3,At Risk
C000246,111,2,511.85,3,1,1,Regular
C000247,148,5,2503.78,2,3,4,At Risk
C000248,2,4,1071.05,5,2,2,Regular
C000249,34,7,1796.03,4,4,3,VIP
C000250,66,5,1095.25,4,3,2,Loyal
C000251,98,7,1546.6399999999999,3,4,3,Loyal
C000252,240,6,1590.9299999999998,1,4,3,At Risk
C000253,145,4,2052.05,2,2,4,At Risk
C000254,283,4,1091.25,1,2,2,At Risk
C000255,397,4,4210.74,1,2,5,At Risk
C000256,126,4,1473.85,3,2,3,Regular
C000257,366,2,646.22,1,1,1,At Risk
C000258,63,4,1096.1599999999999,4,2,2,Regular
C000259,133,10,4236.9,3,5,5,Loyal
C000260,87,7,1989.06,3,4,4,Loyal
C000261,184,3,1885.79,2,1,3,At Risk
C000262,339,2,941.52,1,1,2,At Risk
C000263,5,6,1423.05,5,4,3,VIP
C000264,11,1,389.02,5,1,1,Regular
C000265,3,5,2716.8199999999997,5,3,5,Loyal
C000266,301,7,2562.32,1,4,4,At Risk
C000267,106,4,813.08,3,2,1,Regular
C000268,286,4,1149.18,1,2,2,At Risk
C000269,139,4,1770.9699999999998,2,2,3,At Risk
C000271,84,3,1070.01,3,1,2,Regular
C000272,592,2,2517.32,1,1,4,At Risk
C000273,132,3,2329.46,3,1,4,Regular
C000274,163,3,849.66,2,1,2,At Risk
C000275,19,5,1713.56,5,3,3,Loyal
C000276,39,11,3919.14,4,5,5,VIP
C000277,270,3,993.45,1,1,2,At Risk
C000278,42,1,1902.4,4,1,3,Regular
C000279,190,4,648.9300000000001,2,2,1,At Risk
C000280,445,2,387.30999999999995,1,1,1,At Risk
C000281,95,3,2968.0899999999997,3,1,5,Regular
C000282,46,3,514.0500000000001,4,1,1,Regular
C000283,18,10,2271.89,5,5,4,VIP
C000284,104,6,935.25,3,4,2,Loyal
C000285,219,3,1115.38,2,1,2,At Risk
C000286,199,2,480.63,2,1,1,At Risk
C000287,34,7,1312.43,4,4,2,VIP
C000288,459,2,542.39,1,1,1,At Risk
C000289,534,3,1385.38,1,1,3,At Risk
C000290,436,1,14.69,1,1,1,At Risk
C000291,88,4,1660.09,3,2,3,Regular
C000292,104,5,1218.0,3,3,2,Loyal
C000293,81,6,2057.7,3,4,4,Loyal
C000294,212,2,456.8,2,1,1,At Risk
C000295,100,3,661.24,3,1,1,Regular
C000296,61,3,885.6300000000001,4,1,2,Regular
C000297,252,7,2942.98,1,4,5,At Risk
C000298,1,5,1087.5,5,3,2,Loyal
C000299,165,6,3176.9700000000003,2,4,5,At Risk
C000300,64,3,843.75,4,1,1,Regular
C000301,201,5,1476.73,2,3,3,At Risk
C000302,51,4,1290.87,4,2,2,Regular
C000303,234,3,522.84,2,1,1,At Risk
C000304,9,6,2333.3399999999997,5,4,4,VIP
C000305,95,6,3191.1,3,4,5,Loyal
C000306,76,6,1339.93,4,4,2,VIP
C000307,101,4,1860.55,3,2,3,Regular
C000308,96,5,2373.48,3,3,4,Loyal
C000309,237,4,2449.59,2,2,4,At Risk
C000310,191,2,461.25,2,1,1,At Risk
C000311,47,8,2646.15,4,5,4,VIP
C000312,28,10,4448.52,5,5,5,VIP
C000313,183,7,2222.92,2,4,4,At Risk
C000314,411,1,1226.48,1,1,2,At Risk
C000315,16,6,2561.3199999999997,5,4,4,VIP
C000316,75,7,5046.68,4,4,5,VIP
C000317,66,7,3089.32,4,4,5,VIP
C000318,50,3,425.01,4,1,1,Regular
C000319,299,5,4338.4,1,3,5,At Risk
C000320,311,6,2657.91,1,4,4,At Risk
C000321,676,4,1450.45,1,2,3,At Risk
C000322,111,3,1078.6599999999999,3,1,2,Regular
C000323,81,5,2423.25,3,3,4,Loyal
C000324,111,7,2820.14,3,4,5,Loyal
C000325,43,4,1908.19,4,2,3,Regular
C000326,27,6,2443.63,5,4,4,VIP
C000327,112,2,494.55,3,1,1,Regular
C000328,424,3,385.13,1,1,1,At Risk
C000329,119,6,1327.29,3,4,2,Loyal
C000330,90,5,2571.65,3,3,4,Loyal
C000331,315,3,1678.67,1,1,3,At Risk
C000332,105,3,1141.85,3,1,2,Regular
C000333,36,8,1735.8,4,5,3,VIP
C000334,26,4,1320.35,5,2,2,Regular
C000335,188,8,3502.22,2,5,5,At Risk
C000336,24,2,553.35,5,1,1,Regular
C000337,165,3,863.55,2,1,2,At Risk
C000338,303,4,2185.61,1,2,4,At Risk
C000339,15,2,581.96,5,1,1,Regular
C000340,24,4,621.78,5,2,1,Regular
C000341,344,3,2826.2200000000003,1,1,5,At Risk
C000342,116,8,2546.41,3,5,4,Loyal
C000343,147,6,1216.31,2,4,2,At Risk
